Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions
"Col·legi Canigó ""A""",Col·legi Canigó,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell A,Casa,BÀSQUET,ALEVÍ,FEMENÍ,Dissabte,12:00 h,
"Col·legi Canigó ""B""",Col·legi Canigó,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,Fora,BÀSQUET,ALEVÍ,FEMENÍ,Dissabte,12:00 h,
"Aula Escola Europea ""A""",Aula Escola Europea,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell A,1,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,18:00 h,
"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""Vermell""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell A,7,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,18:00 h,
"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""Negre""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,7,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:30 h,
"Escola Pia Sant Miquel ""A""",Escola Pia Sant Miquel,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:30 h,
"Escola Pia Sant Miquel ""B""",Escola Pia Sant Miquel,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,18:10 h,
"Fundació Brafa ""A""",Fundació Brafa,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,,BÀSQUET,ALEVÍ,FEMENÍ,Dissabte,10:30 h,AQUEST EQUIP ALTERNA PISTA AMB UN ALTRE EQUIP. PRIMERA JORNADA HA DE JUGAR FORA.
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell A,Fora,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:15 h,
"Lycée Français de Gavà (Bon Soleil) ""B""",Lycée Français de Gavà (Bon Soleil),BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,18:00 h,
"Escola Pia Balmes ""A""",Escola Pia Balmes,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,8,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:15 h,
"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:30 h,
"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell A,1,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,19:15 h,
"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,Casa,BÀSQUET,ALEVÍ,FEMENÍ,Dissabte,09:00 h,
"Col·legi Sagrat Cor Sarrià ""Blau""",Col·legi Sagrat Cor Sarrià,BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,4,BÀSQUET,ALEVÍ,FEMENÍ,Divendres,18:00 h,respecteu numero de sorteig
